customerID,churn_probability,predicted_churn_flag,risk_segment,retention_priority_score,priority_level,customer_value_proxy,intervention_urgency,suggested_action,primary_reason,secondary_reason,reason_type,expected_mechanism,suggested_success_metric,Contract,tenure,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,SupportServiceCount
2545-EBUPK,0.9442128161536332,1,High Risk,83.41,Priority 1,48.04,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,84.05,186.05,Fiber optic,Electronic check,No,No,0
4927-WWOOZ,0.9262925749929728,1,High Risk,83.35,Priority 1,52.09,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,91.45,171.45,Fiber optic,Electronic check,No,No,1
1143-NMNQJ,0.9327505697069205,1,High Risk,82.93,Priority 1,48.86,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,85.7,169.8,Fiber optic,Electronic check,No,No,0
4750-ZRXIU,0.9347240363260175,1,High Risk,82.92,Priority 1,49.34,96.67,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,4,84.6,360.1,Fiber optic,Electronic check,No,No,0
8622-ZLFKO,0.9164215137404602,1,High Risk,82.65,Priority 1,53.65,95.0,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,6,90.75,512.25,Fiber optic,Electronic check,No,No,1
4445-ZJNMU,0.891504563881521,1,High Risk,82.56,Priority 1,60.76,92.5,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,9,99.3,918.75,Fiber optic,Credit card (automatic),No,No,1
3722-WPXTK,0.9130724710414069,1,High Risk,82.13,Priority 1,49.88,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,88.35,88.35,Fiber optic,Electronic check,No,No,0
8593-WHYHV,0.9189496924909842,1,High Risk,82.06,Priority 1,49.19,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,85.3,264.8,Fiber optic,Electronic check,No,No,0
0970-ETWGE,0.9062459974825621,1,High Risk,81.89,Priority 1,50.56,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,89.55,89.55,Fiber optic,Electronic check,No,No,0
9248-OJYKK,0.9353529355568023,1,High Risk,81.79,Priority 1,43.16,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,76.45,76.45,Fiber optic,Electronic check,No,No,0
2865-TCHJW,0.9055597743711475,1,High Risk,81.79,Priority 1,51.83,96.67,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,4,89.2,346.2,Fiber optic,Electronic check,No,No,1
2514-GINMM,0.92767032752099,1,High Risk,81.76,Priority 1,44.88,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,79.5,79.5,Fiber optic,Electronic check,No,No,0
4587-VVTOX,0.8662534494964145,1,High Risk,81.72,Priority 1,61.97,95.0,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,6,105.3,545.2,Fiber optic,Electronic check,No,No,2
2034-GDRCN,0.8994868275941063,1,High Risk,81.59,Priority 1,51.48,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,90.4,168.2,Fiber optic,Electronic check,No,No,0
6230-BSUXY,0.9106991479026326,1,High Risk,81.51,Priority 1,47.99,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,85.0,85.0,Fiber optic,Electronic check,No,No,1
2867-UIMSS,0.9163136585424531,1,High Risk,81.22,Priority 1,45.45,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,80.5,80.5,Fiber optic,Electronic check,No,No,0
2609-IAICY,0.9240839064216002,1,High Risk,81.21,Priority 1,43.56,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,77.15,77.15,Fiber optic,Electronic check,No,No,0
2202-CUYXZ,0.9051543035057894,1,High Risk,81.16,Priority 1,47.9,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,84.85,84.85,Fiber optic,Electronic check,No,No,1
6979-ZNSFF,0.8981249590410046,1,High Risk,81.14,Priority 1,53.01,93.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,8,87.05,762.1,Fiber optic,Electronic check,No,No,0
6969-MVBAI,0.8906514724134243,1,High Risk,81.07,Priority 1,55.03,92.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,9,90.1,816.8,Fiber optic,Electronic check,No,No,1
3585-ISXZP,0.8717009720386532,1,High Risk,80.78,Priority 1,57.91,93.33,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,8,95.65,778.1,Fiber optic,Bank transfer (automatic),No,No,0
1628-BIZYP,0.8980945719707819,1,High Risk,80.76,Priority 1,47.99,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,85.0,85.0,Fiber optic,Electronic check,No,No,1
1820-TQVEV,0.9337711760561973,1,High Risk,80.72,Priority 1,39.27,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,69.55,69.55,Fiber optic,Electronic check,No,No,0
4415-IJZTP,0.9220556909997083,1,High Risk,80.71,Priority 1,42.06,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,74.5,74.5,Fiber optic,Electronic check,No,No,0
8739-XNIKG,0.8997885237547408,1,High Risk,80.71,Priority 1,49.38,95.83,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,5,84.0,424.75,Fiber optic,Electronic check,No,No,0
5542-TBBWB,0.9324898027654427,1,High Risk,80.69,Priority 1,39.46,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,69.9,69.9,Fiber optic,Electronic check,No,No,0
9804-ICWBG,0.9324898027654427,1,High Risk,80.69,Priority 1,39.46,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,69.9,69.9,Fiber optic,Electronic check,No,No,0
5167-ZFFMM,0.8824953939146599,1,High Risk,80.65,Priority 1,51.29,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,90.85,90.85,Fiber optic,Credit card (automatic),No,No,1
8375-DKEBR,0.9319547843711106,1,High Risk,80.62,Priority 1,39.29,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,69.6,69.6,Fiber optic,Electronic check,No,No,0
3707-GNWHM,0.9208657183715995,1,High Risk,80.61,Priority 1,41.92,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,74.25,74.25,Fiber optic,Mailed check,No,No,0
6372-RFVNS,0.9076148532107785,1,High Risk,80.45,Priority 1,44.49,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,78.8,78.8,Fiber optic,Electronic check,No,No,0
9507-EXLTT,0.9033901169054698,1,High Risk,80.28,Priority 1,44.8,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,79.35,79.35,Fiber optic,Bank transfer (automatic),No,No,0
2254-DLXRI,0.9035347089050657,1,High Risk,80.26,Priority 1,44.68,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,79.15,79.15,Fiber optic,Mailed check,No,No,1
6630-UJZMY,0.8945590669343795,1,High Risk,80.25,Priority 1,48.29,96.67,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,4,83.25,308.05,Fiber optic,Electronic check,No,No,0
7249-WBIYX,0.8886970149219,1,High Risk,80.2,Priority 1,52.5,91.67,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,10,85.6,813.85,Fiber optic,Electronic check,No,No,0
5196-SGOAK,0.9099038997730488,1,High Risk,80.15,Priority 1,42.74,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,75.7,75.7,Fiber optic,Electronic check,No,No,1
5698-BQJOH,0.8632219698717045,1,High Risk,80.09,Priority 1,57.67,92.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,9,94.4,857.25,Fiber optic,Electronic check,No,No,0
5419-CONWX,0.8501256002755745,1,High Risk,80.09,Priority 1,58.31,96.67,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,4,99.8,442.85,Fiber optic,Credit card (automatic),No,No,2
3716-BDVDB,0.9233858738906238,1,High Risk,80.03,Priority 1,39.01,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,69.1,69.1,Fiber optic,Electronic check,No,No,0
9611-CTWIH,0.8724438567082305,1,High Risk,79.81,Priority 1,51.37,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,89.45,240.45,Fiber optic,Electronic check,No,No,0
2027-FECZV,0.8261152329829627,1,High Risk,79.77,Priority 1,66.81,90.0,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,12,106.7,1253.9,Fiber optic,Electronic check,No,No,2
7180-PISOG,0.9060224098861179,1,High Risk,79.75,Priority 1,42.06,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,74.5,74.5,Fiber optic,Electronic check,No,No,0
6137-NICCO,0.8597361135541002,1,High Risk,79.72,Priority 1,55.53,95.0,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,6,94.05,518.75,Fiber optic,Mailed check,No,No,2
4115-NZRKS,0.8698666970800034,1,High Risk,79.6,Priority 1,53.11,94.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,7,89.15,574.35,Fiber optic,Electronic check,No,No,0
3519-ZKXGG,0.8994580152161782,1,High Risk,79.56,Priority 1,43.86,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,75.85,256.6,Fiber optic,Electronic check,No,No,0
8258-GSTJK,0.8946833101454619,1,High Risk,79.4,Priority 1,44.39,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,77.0,237.75,Fiber optic,Electronic check,No,No,0
4713-LZDRV,0.8874462534271782,1,High Risk,79.4,Priority 1,45.6,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,79.6,195.05,Fiber optic,Electronic check,No,No,0
6023-YEBUP,0.8349119021194205,1,High Risk,79.29,Priority 1,58.3,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,100.95,329.95,Fiber optic,Electronic check,No,No,1
7817-BOQPW,0.8940733733799626,1,High Risk,79.19,Priority 1,43.17,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,75.55,166.3,Fiber optic,Electronic check,No,No,0
5376-DEQCP,0.9049426570239363,1,High Risk,79.14,Priority 1,39.86,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,70.6,70.6,Fiber optic,Electronic check,No,No,0
9878-TNQGW,0.8799447927928304,1,High Risk,79.1,Priority 1,46.22,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,80.95,171.15,Fiber optic,Electronic check,No,No,0
0679-IDSTG,0.906006939623975,1,High Risk,79.01,Priority 1,39.1,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,69.25,69.25,Fiber optic,Electronic check,No,No,0
2754-SDJRD,0.8278385146678126,1,High Risk,78.96,Priority 1,61.17,93.33,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,8,100.15,908.55,Fiber optic,Credit card (automatic),Yes,No,1
3244-DCJWY,0.9026665831945127,1,High Risk,78.95,Priority 1,39.66,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,70.25,70.25,Fiber optic,Electronic check,No,No,0
7005-CCBKV,0.8672963269383888,1,High Risk,78.88,Priority 1,50.35,95.0,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,6,84.4,556.35,Fiber optic,Electronic check,No,No,1
3320-VEOYC,0.8407442873289909,1,High Risk,78.87,Priority 1,60.72,88.33,Contract-upgrade incentive,Electronic-check payment,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,14,95.6,1273.3,Fiber optic,Electronic check,No,No,0
8380-PEFPE,0.8977574057704012,1,High Risk,78.85,Priority 1,40.45,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,71.65,71.65,Fiber optic,Electronic check,No,No,0
7409-KIUTL,0.8976893969966727,1,High Risk,78.76,Priority 1,40.08,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,71.0,71.0,Fiber optic,Electronic check,No,No,0
6892-XPFPU,0.8113390788390623,1,High Risk,78.73,Priority 1,72.21,80.0,Contract-upgrade incentive,Electronic-check payment,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,24,104.25,2433.9,Fiber optic,Electronic check,No,No,2
7952-OBOYL,0.8510173695262885,1,High Risk,78.59,Priority 1,51.61,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,89.85,244.45,Fiber optic,Mailed check,Yes,No,2
1853-UDXBW,0.896596497288554,1,High Risk,78.55,Priority 1,39.52,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,70.0,70.0,Fiber optic,Electronic check,No,No,0
2439-LYPMQ,0.8037732555037826,1,High Risk,78.55,Priority 1,80.31,68.33,Contract-upgrade incentive,Electronic-check payment,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,38,102.6,4009.2,Fiber optic,Electronic check,No,No,2
1731-TVIUK,0.8409872506595675,1,High Risk,78.54,Priority 1,54.33,96.67,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,4,93.5,362.2,Fiber optic,Electronic check,Yes,No,2
7181-BQYBV,0.8192345295012672,1,High Risk,78.49,Priority 1,57.84,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,102.45,102.45,Fiber optic,Electronic check,No,Yes,2
8397-MVTAZ,0.8127885446912706,1,High Risk,78.48,Priority 1,75.85,71.67,Contract-upgrade incentive,Electronic-check payment,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,34,100.05,3480.0,Fiber optic,Electronic check,No,No,1
8443-ZRDBZ,0.8802394470759829,1,High Risk,78.4,Priority 1,44.33,96.67,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,4,76.05,318.9,Fiber optic,Electronic check,No,No,0
1320-HTRDR,0.8798434275948382,1,High Risk,78.28,Priority 1,43.46,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,75.5,220.6,Fiber optic,Electronic check,No,No,0
5186-SAMNZ,0.8926650104909053,1,High Risk,78.25,Priority 1,39.24,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,69.5,69.5,Fiber optic,Bank transfer (automatic),No,No,0
1980-KXVPM,0.8785503940681019,1,High Risk,78.19,Priority 1,43.41,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,75.05,256.25,Fiber optic,Credit card (automatic),No,No,0
8245-UMPYT,0.8240895898190602,1,High Risk,78.18,Priority 1,62.93,86.67,Contract-upgrade incentive,Electronic-check payment,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,16,96.4,1581.2,Fiber optic,Electronic check,No,No,0
4735-ASGMA,0.8173455890696428,1,High Risk,78.14,Priority 1,69.38,78.33,Contract-upgrade incentive,Electronic-check payment,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,26,98.35,2515.3,Fiber optic,Electronic check,No,No,1
5382-SOYZL,0.8245705056531869,1,High Risk,78.11,Priority 1,65.54,81.67,Contract-upgrade incentive,Electronic-check payment,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,22,95.1,2162.6,Fiber optic,Electronic check,No,No,0
