customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TenureGroup,AvgMonthlySpend,SupportServiceCount,actual_churn_flag,predicted_churn_flag,churn_probability,risk_segment,customer_value_proxy,intervention_urgency,retention_priority_score,priority_level,primary_reason,secondary_reason,reason_type,suggested_action,expected_mechanism,suggested_success_metric
2545-EBUPK,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,0-12 Months,93.025,0,0,1,0.9442128161536332,High Risk,48.04,98.33,83.41,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
4927-WWOOZ,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,0-12 Months,85.725,1,0,1,0.9262925749929728,High Risk,52.09,98.33,83.35,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
1143-NMNQJ,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,169.8,0-12 Months,84.9,0,1,1,0.9327505697069205,High Risk,48.86,98.33,82.93,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
4750-ZRXIU,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,0-12 Months,90.025,0,1,1,0.9347240363260175,High Risk,49.34,96.67,82.92,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
8622-ZLFKO,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.75,512.25,0-12 Months,85.375,1,0,1,0.9164215137404602,High Risk,53.65,95.0,82.65,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0-12 Months,102.08333333333333,1,0,1,0.891504563881521,High Risk,60.76,92.5,82.56,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
3722-WPXTK,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,0-12 Months,88.35,0,1,1,0.9130724710414069,High Risk,49.88,99.17,82.13,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
8593-WHYHV,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,264.8,0-12 Months,88.26666666666667,0,1,1,0.9189496924909842,High Risk,49.19,97.5,82.06,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
0970-ETWGE,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,0-12 Months,89.55,0,1,1,0.9062459974825621,High Risk,50.56,99.17,81.89,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
9248-OJYKK,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,0-12 Months,76.45,0,1,1,0.9353529355568023,High Risk,43.16,99.17,81.79,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2865-TCHJW,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,0-12 Months,86.55,1,1,1,0.9055597743711475,High Risk,51.83,96.67,81.79,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2514-GINMM,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,0-12 Months,79.5,0,1,1,0.92767032752099,High Risk,44.88,99.17,81.76,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
4587-VVTOX,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,0-12 Months,90.86666666666667,2,1,1,0.8662534494964145,High Risk,61.97,95.0,81.72,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2034-GDRCN,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,0-12 Months,84.1,0,1,1,0.8994868275941063,High Risk,51.48,98.33,81.59,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6230-BSUXY,Female,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,0-12 Months,85.0,1,1,1,0.9106991479026326,High Risk,47.99,99.17,81.51,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2867-UIMSS,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.5,80.5,0-12 Months,80.5,0,1,1,0.9163136585424531,High Risk,45.45,99.17,81.22,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2609-IAICY,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,77.15,0-12 Months,77.15,0,1,1,0.9240839064216002,High Risk,43.56,99.17,81.21,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2202-CUYXZ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,84.85,0-12 Months,84.85,1,1,1,0.9051543035057894,High Risk,47.9,99.17,81.16,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6979-ZNSFF,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.05,762.1,0-12 Months,95.2625,0,1,1,0.8981249590410046,High Risk,53.01,93.33,81.14,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6969-MVBAI,Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8,0-12 Months,90.75555555555555,1,0,1,0.8906514724134243,High Risk,55.03,92.5,81.07,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
3585-ISXZP,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.65,778.1,0-12 Months,97.2625,0,1,1,0.8717009720386532,High Risk,57.91,93.33,80.78,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
1628-BIZYP,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,0-12 Months,85.0,1,0,1,0.8980945719707819,High Risk,47.99,99.17,80.76,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
1820-TQVEV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,0-12 Months,69.55,0,1,1,0.9337711760561973,High Risk,39.27,99.17,80.72,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
4415-IJZTP,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,0-12 Months,74.5,0,1,1,0.9220556909997083,High Risk,42.06,99.17,80.71,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
8739-XNIKG,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.0,424.75,0-12 Months,84.95,0,0,1,0.8997885237547408,High Risk,49.38,95.83,80.71,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
5542-TBBWB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,0-12 Months,69.9,0,0,1,0.9324898027654427,High Risk,39.46,99.17,80.69,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
9804-ICWBG,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,0-12 Months,69.9,0,1,1,0.9324898027654427,High Risk,39.46,99.17,80.69,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
5167-ZFFMM,Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,0-12 Months,90.85,1,1,1,0.8824953939146599,High Risk,51.29,99.17,80.65,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
8375-DKEBR,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,0-12 Months,69.6,0,1,1,0.9319547843711106,High Risk,39.29,99.17,80.62,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
3707-GNWHM,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,74.25,0-12 Months,74.25,0,1,1,0.9208657183715995,High Risk,41.92,99.17,80.61,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6372-RFVNS,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,0-12 Months,78.8,0,1,1,0.9076148532107785,High Risk,44.49,99.17,80.45,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
9507-EXLTT,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.35,79.35,0-12 Months,79.35,0,1,1,0.9033901169054698,High Risk,44.8,99.17,80.28,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2254-DLXRI,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.15,79.15,0-12 Months,79.15,1,0,1,0.9035347089050657,High Risk,44.68,99.17,80.26,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6630-UJZMY,Female,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,0-12 Months,77.0125,0,0,1,0.8945590669343795,High Risk,48.29,96.67,80.25,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
7249-WBIYX,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.6,813.85,0-12 Months,81.385,0,1,1,0.8886970149219,High Risk,52.5,91.67,80.2,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
5196-SGOAK,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.7,75.7,0-12 Months,75.7,1,1,1,0.9099038997730488,High Risk,42.74,99.17,80.15,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,0-12 Months,95.25,0,1,1,0.8632219698717045,High Risk,57.67,92.5,80.09,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
5419-CONWX,Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,0-12 Months,110.7125,2,1,1,0.8501256002755745,High Risk,58.31,96.67,80.09,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
3716-BDVDB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,69.1,0-12 Months,69.1,0,1,1,0.9233858738906238,High Risk,39.01,99.17,80.03,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
9611-CTWIH,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,0-12 Months,80.14999999999999,0,1,1,0.8724438567082305,High Risk,51.37,97.5,79.81,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2027-FECZV,Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,0-12 Months,104.49166666666667,2,1,1,0.8261152329829627,High Risk,66.81,90.0,79.77,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
7180-PISOG,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,0-12 Months,74.5,0,1,1,0.9060224098861179,High Risk,42.06,99.17,79.75,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6137-NICCO,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,94.05,518.75,0-12 Months,86.45833333333333,2,0,1,0.8597361135541002,High Risk,55.53,95.0,79.72,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
4115-NZRKS,Female,1,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,574.35,0-12 Months,82.05,0,0,1,0.8698666970800034,High Risk,53.11,94.17,79.6,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
3519-ZKXGG,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.85,256.6,0-12 Months,85.53333333333335,0,1,1,0.8994580152161782,High Risk,43.86,97.5,79.56,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
8258-GSTJK,Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.0,237.75,0-12 Months,79.25,0,1,1,0.8946833101454619,High Risk,44.39,97.5,79.4,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
4713-LZDRV,Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,0-12 Months,97.525,0,1,1,0.8874462534271782,High Risk,45.6,98.33,79.4,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6023-YEBUP,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,0-12 Months,109.98333333333333,1,1,1,0.8349119021194205,High Risk,58.3,97.5,79.29,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
7817-BOQPW,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.55,166.3,0-12 Months,83.15,0,1,1,0.8940733733799626,High Risk,43.17,98.33,79.19,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
5376-DEQCP,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.6,70.6,0-12 Months,70.6,0,1,1,0.9049426570239363,High Risk,39.86,99.17,79.14,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
9878-TNQGW,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,0-12 Months,85.575,0,1,1,0.8799447927928304,High Risk,46.22,98.33,79.1,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
0679-IDSTG,Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,0-12 Months,69.25,0,1,1,0.906006939623975,High Risk,39.1,99.17,79.01,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
2754-SDJRD,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0-12 Months,113.56875,1,0,1,0.8278385146678126,High Risk,61.17,93.33,78.96,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
